Date,H_Team,H_MP,H_FG,H_FGA,H_FG%,H_3P,H_3PA,H_3P%,H_FT,H_FTA,H_FT%,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOV,H_PF,H_PTS,H_+/-,A_Team,A_MP,A_FG,A_FGA,A_FG%,A_3P,A_3PA,A_3P%,A_FT,A_FTA,A_FT%,A_ORB,A_DRB,A_TRB,A_AST,A_STL,A_BLK,A_TOV,A_PF,A_PTS,A_+/-
"July 20, 2021",MIL,240,37,82,.451,6,27,.222,25,29,.862,11,42,53,20,10,6,18,17,105,,PHO,240,38,86,.442,6,25,.240,16,19,.842,6,31,37,14,11,4,14,21,98,
"July 17, 2021",PHO,240,48,87,.552,13,19,.684,10,11,.909,8,27,35,23,9,5,8,20,119,,MIL,240,50,87,.575,14,28,.500,9,17,.529,11,26,37,26,7,1,11,17,123,
"July 14, 2021",MIL,240,39,97,.402,7,29,.241,24,29,.828,17,31,48,22,11,3,5,18,109,,PHO,240,40,78,.513,7,23,.304,16,19,.842,5,35,40,18,3,9,17,24,103,
"July 11, 2021",MIL,240,43,90,.478,14,36,.389,20,26,.769,13,34,47,28,8,2,9,18,120,,PHO,240,40,83,.482,9,31,.290,11,16,.688,6,30,36,21,3,3,14,24,100,
"July 8, 2021",PHO,240,43,88,.489,20,40,.500,12,14,.857,11,32,43,26,7,2,12,19,118,,MIL,240,42,93,.452,9,31,.290,15,23,.652,18,28,46,21,8,7,9,17,108,
"July 6, 2021",PHO,240,41,88,.466,11,34,.324,25,26,.962,6,37,43,18,9,1,9,14,118,,MIL,240,40,88,.455,16,36,.444,9,16,.563,9,38,47,21,4,2,13,18,105,
"July 3, 2021",ATL,240,38,92,.413,12,32,.375,19,23,.826,13,30,43,22,11,2,16,16,107,,MIL,240,41,89,.461,17,45,.378,19,21,.905,12,34,46,24,11,5,14,23,118,
"July 1, 2021",MIL,240,48,95,.505,9,29,.310,18,25,.720,14,33,47,28,11,5,8,17,123,,ATL,240,41,90,.456,15,38,.395,15,19,.789,13,27,40,24,6,5,14,22,112,
"June 30, 2021",LAC,240,33,79,.418,12,39,.308,25,32,.781,7,25,32,18,5,3,8,11,103,,PHO,240,53,94,.564,17,31,.548,7,11,.636,10,37,47,27,5,4,9,21,130,
"June 29, 2021",ATL,240,43,85,.506,13,38,.342,11,13,.846,8,35,43,26,11,4,11,22,110,,MIL,240,33,84,.393,8,39,.205,14,19,.737,12,31,43,19,6,3,15,18,88,
